Location_name,Latitude,Longitude,Category,Sub_Category,Literature,Cultural_Significance,Distinctive_Feature,Official_Website
Fortingall Yew,56.59798,-4.05068,Ancient Landscape,Ancient Tree,"Ancient common yew (Taxus baccata) standing in the churchyard at Fortingall, Perthshire, Scotland. Widely regarded as one of the oldest trees in Europe, estimates of its age range from around 2,000 to over 5,000 years. The tree has gradually fragmented over centuries and now survives as several separate sections surrounding the remains of the original trunk. Historic measurements recorded a girth of approximately 17 metres before this natural splitting occurred. The Fortingall Yew remains one of Britain's most celebrated ancient trees and is the subject of ongoing conservation efforts.","The Fortingall Yew predates almost every chapter of recorded British history. It was already ancient when the Romans arrived in Britain and may have begun growing during the Bronze Age. Its extraordinary age has inspired legends, including a local tradition that Pontius Pilate was born nearby and spent part of his childhood beneath the tree. Although historically doubtful, such stories reflect the awe generated by a living organism that may have survived for several millennia. The tree has become an international symbol of longevity and continuity, connecting present-day visitors with a timescale far beyond ordinary human experience.",The trunk has split over millennia and now resembles several smaller trees rather than one. Conservation efforts are ongoing to protect its DNA by planting saplings in other Scottish churchyards.,https://en.wikipedia.org/wiki/Fortingall_Yew
Birnam Oak,56.5609,-3.5766,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) growing near the River Tay at Birnam in Perthshire, Scotland. The tree is traditionally identified as one of the last surviving remnants of the historic Birnam Wood. It stands alongside the nearby Birnam Sycamore, another veteran tree associated with the ancient woodland. Although the original forest has largely disappeared, the Birnam Oak remains a prominent survivor of the landscape that inspired one of the most famous settings in English literature.","The Birnam Oak is inseparably linked with Shakespeare's Macbeth. In the play, the witches prophesy that Macbeth will remain undefeated until Birnam Wood comes to Dunsinane Hill. The prophecy is fulfilled when Malcolm's soldiers cut branches from the wood to conceal their advance. Whether or not the present tree stood during Shakespeare's lifetime, it represents a surviving fragment of the woodland that inspired one of the most enduring scenes in world literature. Together with the Birnam Sycamore, it serves as a living connection between the Scottish landscape, medieval history and the cultural legacy of Shakespeare.",A nearby sycamore is also thought to be from the original wood. Together they are called the Birnam Oak and the Birnam Sycamore - the last survivors of a forest that changed the course of English literature.,https://en.wikipedia.org/wiki/Birnam_Oak
"Capon Tree, Jedburgh",55.4622,-2.55463,Ancient Landscape,Ancient Tree,"English oak, approximately 1000 years old, one of the last survivors of the ancient Jed Forest in the Scottish Borders. Hollow, massive and still living.","For a millennium this tree has been a fixed point in the turbulent landscape of the Anglo-Scottish border country - witness to raids, battles, treaties and centuries of border reiving. The border lands were among the most violent in medieval Britain and the Capon Tree has outlasted all of it.",The name 'Capon Tree' is thought to derive from its use as a meeting place or landmark - perhaps where rents were paid in capons (cockerels). It is one of the most celebrated trees in southern Scotland.,https://en.wikipedia.org/wiki/Capon_Tree
Craigends Yew Renfrewshire,55.862414,-4.526278,Ancient Landscape,Ancient Tree,"One of the largest and possibly oldest layering yews in Scotland, in Renfrewshire. Its multiple trunks and sweeping layered branches create an extraordinary visual effect.",Ancient yews are among the least understood of Britain's trees precisely because their hollow centres make ring-counting impossible. Age estimates for the largest Scottish yews range from several hundred to several thousand years. The Craigends Yew is among the most impressive specimens in the country.,"The layering habit means this tree is in a constant state of slow expansion - reaching outward, touching the ground, taking root, rising again. It will still be growing long after everything else in this landscape has changed.",https://en.wikipedia.org/wiki/Craigends_Yew
Kinclaven Bluebell Wood,56.5667,-3.3833,Ancient Landscape,Ancient Tree,"Ancient and recently planted woodland in a bend of the River Tay in Perthshire. Once part of the Ballathie Estate, the ruins of Kinclaven Castle - burned by William Wallace in 1297 - lie hidden in the undergrowth nearby.",William Wallace destroyed Kinclaven Castle as part of his campaign against English occupation of Scotland. The castle ruins have been slowly consumed by woodland for over 700 years. The wood itself was later used as a filming location for the TV series Outlander.,"An ancient wood where history literally lies beneath your feet - the foundations of a castle burned by one of Scotland's most celebrated heroes, now carpeted in bluebells each spring.",https://en.wikipedia.org/wiki/Kinclaven
Glen Finglas Trossachs,56.2667,-4.3833,Ancient Landscape,Ancient Tree,"A vast ancient woodland estate in the heart of Loch Lomond and The Trossachs National Park, one of the most culturally significant landscapes in Scotland.","Glen Finglas inspired the poetry of Wordsworth, Coleridge and Gerard Manley Hopkins. Walter Scott's poem Glenfinlas takes its name directly from this glen, and his Lady of the Lake was set around nearby Loch Katrine. Rob Roy - the real outlaw whose life Scott fictionalised - lived in this area and is buried at Balquhidder. John Everett Millais painted his famous portrait of John Ruskin here in 1853.",A landscape so laden with literary and artistic association that it is almost impossible to walk through it without encountering history. The ancient oaks are the constant through all of it.,https://en.wikipedia.org/wiki/Glen_Finglas
"Discoed Yew, Presteigne",52.2667,-3.0833,Ancient Landscape,Ancient Tree,"Yew in St Michael's churchyard, Discoed, Powys, Wales. Likely to be approximately 5000 years old - one of the five oldest trees in the British Isles and possibly the oldest in Wales.",This tree was already ancient when the Bronze Age peoples who built Stonehenge were alive. It predates written language in Britain. It predates the Roman conquest by 4000 years. To stand beside it is to stand beside something that has simply been here for an incomprehensible stretch of time.,"St Michael's churchyard is a quiet, unassuming place - the tree does not announce itself with signs or fencing. It simply grows, as it has for five millennia.",https://en.wikipedia.org/wiki/Discoed
Defynnog Yew,51.939722,-3.564722,Ancient Landscape,Ancient Tree,"Yew in St Cynog's churchyard, Defynnog, Powys, Wales. Estimated to be between 2000 and 5000 years old - a direct rival to the Fortingall Yew in Scotland for the title of oldest tree in the UK.",This tree is far less visited and celebrated than the Fortingall Yew despite being of equivalent age. It represents a hidden extraordinary of the Welsh landscape - a tree as old as civilisation itself growing quietly in a village churchyard in Powys.,"The churchyard setting gives the tree a particular resonance - the yew predating Christianity in Britain by thousands of years, now standing within the grounds of a Christian church.",https://en.wikipedia.org/wiki/Defynnog_Yew
Oak at the Gate of the Dead Wrexham,52.931472,-3.095361,Ancient Landscape,Ancient Tree,"Ancient oak at the Chirk estate near Wrexham, North Wales. In 1165 Welsh forces ambushed an invading English army at this site in the Battle of Crogen - the engagement became known as the Battle of the Gate of the Dead.","Henry II led a major invasion of Wales in 1165. Welsh forces under Owain Gwynedd ambushed his army at this pass, inflicting heavy losses. The English were forced to retreat. Henry was so enraged that he blinded and mutilated the Welsh hostages he held. The oak that stands here has watched that ground for a thousand years.",The name alone is extraordinary - the Gate of the Dead. This tree has a connection to one of the most significant Welsh military victories of the medieval period.,https://en.wikipedia.org/wiki/Oak_at_the_Gate_of_the_Dead
"Plas Newydd Beech, Anglesey",53.1833,-4.2,Ancient Landscape,Ancient Tree,Multi-stemmed beech tree at Plas Newydd on Anglesey with the largest trunk of any beech tree in Britain. The estate has connections to the Marquesses of Anglesey.,"Plas Newydd overlooks the Menai Strait and the mountains of Snowdonia beyond. The estate was the home of the 1st Marquess of Anglesey, who commanded the cavalry at the Battle of Waterloo in 1815 and famously lost his leg to a cannonball during the battle. The beech tree may have been planted during his lifetime.",The multi-stemmed form of this beech - multiple trunks rising from a single massive base - gives it a cathedral-like quality. Its setting above the Menai Strait with Snowdonia as a backdrop is among the finest of any tree in Wales.,"https://en.wikipedia.org/wiki/Plas_Newydd,_Anglesey"
"Belvoir Oak, Belfast",54.55,-5.9333,Ancient Landscape,Ancient Tree,"English oak in Belvoir Park Forest, Belfast, estimated to be 500 years old and possibly the oldest oak in Northern Ireland. It was growing when Belfast was still a small settlement at a ford on the River Lagan.","This tree has watched Belfast grow from a cluster of buildings to a city of 350000 people. It predates the plantation of Ulster, the Act of Union, the linen industry, the shipyards, the Titanic and the Troubles. It is one of the oldest living connections to the landscape as it was before the modern city existed.",Recognised as part of Northern Ireland's living heritage. Belvoir Park Forest is now a popular woodland walk on the edge of the city - the old oak at its heart a reminder of what the land once was.,https://en.wikipedia.org/wiki/Belvoir_Park_Forest
"Cefn Ila, Monmouthshire",51.7333,-2.9333,Ancient Landscape,Ancient Tree,"Woodland and historic estate landscape at Llanbadoc, near Usk in Monmouthshire, Wales. Cefn Ila is now managed by the Woodland Trust Wales / Coed Cadw as a developing native woodland of around 29 hectares, set within the wider Usk Valley landscape. The site contains the remains of an earlier manor and Victorian pleasure grounds, including traces of terracing, orchard, walled garden and arboretum planting. The estate is associated with Edward John Trelawny, friend and memoirist of Percy Bysshe Shelley and Lord Byron, who bought Cefn Ila in the mid-nineteenth century and developed the gardens. The site is listed Grade II on the Cadw/ICOMOS Register of Parks and Gardens of Special Historic Interest in Wales.","Cefn Ila matters because it connects landscape restoration with a layered cultural past. Beneath the new woodland are the traces of a medieval manor, a Victorian estate and the imaginative world of Edward John Trelawny, whose life was bound up with Byron and Shelley and whose memoir Recollections of the Last Days of Shelley and Byron helped shape later literary memory of the Romantic poets. The destruction of the house by fire in the twentieth century left the estate as a landscape of remains rather than a complete country house. Its current restoration as woodland gives the site a second life, turning a lost estate into a place where literary history, garden archaeology and ecological renewal can be read together.","Cefn Ila is not a single ancient tree but a historic designed landscape now being restored as native woodland. Its interest lies in the survival of estate features, including terraces, orchard, walled garden remains and arboretum planting, within a modern Woodland Trust site.",https://en.wikipedia.org/wiki/Edward_John_Trelawny
"Beauly Priory Elm, Inverness",57.4841,-4.4631,Ancient Landscape,Ancient Tree,"Ancient wych elm (*Ulmus glabra*) formerly standing at the entrance to Beauly Priory in Beauly town centre, Inverness-shire. The Beauly Elm was believed to be more than 800 years old and was often described as one of the oldest wych elms in Europe. It stood at the gateway to the medieval priory and was the last survivor of an ancient avenue of elms that once connected the priory with the town square. In its final years Dutch elm disease left only a small amount of living material, and the tree fell in January 2023. Replacement young elms were planted in 2024 to continue the association between Beauly and the species.","The Beauly Elm was more than a veteran tree: it acted as a living threshold between the town and the priory. For centuries it marked the entrance to a religious site founded in the thirteenth century and became part of Beauly's public memory and visual identity. Its decline through Dutch elm disease gave the tree added poignancy, connecting a specific Highland landmark with the wider loss of elms across Britain. The planting of successor elms shows that the community relationship with the tree did not end when the original fell; instead, the site now carries a story of loss, continuity and renewal.","Formerly regarded as one of Europe's oldest wych elms, the tree survived as a sculptural remnant at the priory entrance after Dutch elm disease. Its story now includes the 2024 planting of young successor elms.",https://en.wikipedia.org/wiki/Beauly_Priory
"Duncliffe Wood, Dorset",51,-2.2167,Ancient Landscape,Ancient Tree,"Ancient woodland on Duncliffe Hill, a few miles west of Shaftesbury in North Dorset. Covering about 92 hectares, Duncliffe Wood is one of the largest ancient woodlands in North Dorset and is managed by the Woodland Trust. The wood is recorded in the Domesday Book of 1086, when it was owned by Roger de Belmont and valued at £9. It later passed through a French nunnery, the Crown, Eton College and King's College, Cambridge. The woodland includes oak, ash, hazel and old coppice, with veteran small-leaved lime stools reputed to be among the oldest living things in Dorset. Duncliffe is also associated with Thomas Hardy's Wessex: the wood is said to have helped inspire The Woodlanders, and Duncliffe Hill is mentioned in Jude the Obscure.","Duncliffe Wood is important because it is both a survival of medieval woodland history and part of the imaginative landscape of Thomas Hardy's Wessex. Its documented presence in the Domesday Book gives visitors a rare sense of continuity, while its later ownership by religious, royal and educational institutions shows how valuable woodland was as a managed economic resource. The old coppice stools and veteran trees preserve traces of historic woodland labour, not just natural growth. Its literary association with Hardy adds another layer: the wood becomes part of the emotional geography of rural Dorset, where working landscapes, social change and memory are deeply entwined.","One of North Dorset's largest ancient woods, documented since Domesday and associated with Thomas Hardy. Its veteran lime coppice stools are reputed to be among Dorset's oldest living organisms.",https://en.wikipedia.org/wiki/Duncliffe_Wood
"Darley Dale Yew, Derbyshire",53.15,-1.5167,Ancient Landscape,Ancient Tree,"Ancient common yew (*Taxus baccata*) growing in the churchyard of St Helen's Church at Darley Dale, Derbyshire. The tree stands just outside the south porch of the church and is one of the thickest yews in England, with a recorded girth of around 33 feet. Its age is uncertain: estimates range from around 600 years to a traditional figure of approximately 2,000 years, which is used on the churchyard interpretation board. Historical descriptions, including Ebenezer Rhodes's Peak Scenery in 1824, record the yew as a major local landmark. The tree has a massive, complex trunk structure and remains one of Derbyshire's most celebrated ancient churchyard yews.","The Darley Dale Yew is significant because it gives physical form to an unusually long local timeline. Whether its true age is closer to 600 years or much older, it has stood beside a Christian place of worship for centuries and has become inseparable from St Helen's Church. Local interpretation frames the tree as a witness to successive eras of British history, from pre-Christian landscapes through Roman, Saxon, Norman and medieval Derbyshire. Around its base are memorial tablets commemorating acts of courage during the Second World War, adding a modern layer of remembrance to a much older sacred landscape. The tree's importance lies in this accumulated continuity: faith, memory, local pride and deep time meeting in a single churchyard.","A churchyard yew of exceptional girth, standing immediately beside St Helen's Church. Its age is disputed, but its physical presence and long record of local veneration make it one of England's best-known ancient yews.",https://en.wikipedia.org/wiki/Darley_Dale
Allerton Oak,53.382583,-2.892806,Ancient Landscape,Ancient Tree,"Veteran oak in Calderstones Park, Liverpool, generally described as a hybrid between sessile oak and English oak (*Quercus × rosacea*). The Allerton Oak is traditionally said to be around 1,000 years old, although the Woodland Trust Ancient Tree Inventory cautions that this age is likely overstated given its recorded girth of about 5.5 metres. The tree has a broad, fractured crown and a split trunk supported by an extensive timber framework. It was named England's Tree of the Year by the Woodland Trust in 2019 and went on to represent the UK in the European Tree of the Year competition. The tree is one of Liverpool's best-known living landmarks.","The Allerton Oak matters because it has become part of Liverpool's civic memory. Local tradition says medieval court hearings were once held beneath its branches, giving it a role as a place of judgement before formal civic buildings existed. Another legend links the split in its trunk to the 1864 explosion of the gunpowder ship Lottie Sleigh on the River Mersey, an event heard many miles away and remembered across the city. During the Second World War, leaves from the oak were reportedly sent in Christmas cards to Liverpool parks staff serving overseas, turning the tree into a portable symbol of home. Its modern conservation and Tree of the Year recognition show how an urban veteran tree can hold together folklore, civic identity and public affection.","A heavily supported veteran oak whose legends connect it with medieval justice, the Lottie Sleigh explosion and wartime memories of home. Its claimed age is traditional rather than certain.",https://en.wikipedia.org/wiki/Allerton_Oak
Bethnal Green mulberry tree,51.532717,-0.049556,Ancient Landscape,Ancient Tree,"Ancient black mulberry (*Morus nigra*) in the grounds of the former London Chest Hospital, Bethnal Green, in the London Borough of Tower Hamlets. The tree is usually estimated to be at least 200 years old and possibly over 400 years old; local tradition links it with Bishop Edmund Bonner, though this association is unconfirmed. It is protected by a Tree Preservation Order and has been described as one of the oldest trees in London's East End. From 2017 to 2021 the tree became the focus of a major community and legal campaign opposing plans to move it as part of redevelopment of the former hospital site. In 2021 the High Court quashed the planning permission and listed building consent associated with the redevelopment.","The Bethnal Green Mulberry matters because it became a test case for how cities value old living things in the face of development pressure. Its possible connection with Bishop Bonner gives it a dark Tudor folklore, but its modern significance is just as powerful: local residents, campaigners and supporters fought to stop the tree being moved, arguing that relocation could kill a veteran tree and erase part of East End memory. The campaign gathered thousands of signatures and attracted high-profile support, turning a single mulberry into a symbol of community resistance, heritage protection and the right of old trees to remain rooted in place. Its survival links religious history, hospital history, urban planning and environmental activism.",A veteran black mulberry protected by a Tree Preservation Order and saved through a high-profile community and legal campaign against relocation.,https://en.wikipedia.org/wiki/Bethnal_Green_mulberry_tree
Bickering Bush,55.59528,-4.51139,Ancient Landscape,Ancient Tree,"Former hawthorn (*Crataegus monogyna*) traditionally located near Caprington, close to the confluence of the Kilmarnock Water and the River Irvine in East Ayrshire. The Bickering Bush was recorded on Ordnance Survey mapping and was associated with the lands of Monksholm or Maxholm near Riccarton. The original thorn no longer survives; sources suggest it was cut down in the late 1820s or early 1830s, with pieces of wood later made into keepsakes. The name appears in local tradition and is connected with stories of Sir William Wallace. In Scots usage, 'thorn' usually refers to hawthorn rather than blackthorn.","The Bickering Bush is important as a folklore tree rather than a surviving ancient specimen. Local tradition places Sir William Wallace near the thorn during an encounter with English soldiers while fishing on the River Irvine. In the story, a dispute over his catch escalated into violence, and the site became remembered as the Bickering Bush after Wallace's reported remark about the 'bicker'. Whether treated as history, legend or patriotic storytelling, the bush shows how trees and thorns could anchor oral memory in the landscape. Its loss in the nineteenth century did not erase the story; instead, the vanished tree became part of Ayrshire's Wallace folklore and the wider tradition of named trees marking acts of resistance, conflict and local identity.",A lost hawthorn remembered through Wallace folklore. Its significance lies in the survival of the story and place-name rather than in a living tree.,https://en.wikipedia.org/wiki/Bickering_Bush
Brimmon Oak,52.5125,-3.292889,Ancient Landscape,Ancient Tree,"Pedunculate oak (Quercus robur), approximately 500 years old. Located near Newtown, Powys, Wales. Girth of over 6 metres. The tree has been pollarded for timber in the past. Named Welsh Tree of the Year and British Tree of the Year for 2016, and runner-up in the European Tree of the Year awards in 2017.","The Brimmon Oak is one of Montgomeryshire's most significant natural landmarks, standing on land that has been farmed by the same family since the 1600s. A photograph from 1901 shows a wedding party sheltering beneath its canopy, a small illustration of the role the tree has played in the lives of those around it across the centuries. In 2015 the tree faced felling when the Welsh Government proposed the route of the A483 Newtown Bypass directly through the field in which it stands. The landowner organised a petition to the Welsh Assembly which gathered 5,000 signatures, and the bypass route was subsequently altered by around 15 metres to protect the tree and its root system. The following year the Brimmon Oak was named Welsh Tree of the Year and then British Tree of the Year, going on to finish second in the European Tree of the Year competition in 2017 with over 16,000 votes - the highest placing ever achieved by a British tree in that award. Its survival is now considered a landmark moment for tree conservation advocacy in Wales.",,https://en.wikipedia.org/wiki/Brimmon_Oak
Buttington Oak,52.678,-3.111,Ancient Landscape,Ancient Tree,"Pedunculate oak (Quercus robur), estimated to be over 1,000 years old at the time of its death. Located near Buttington, Powys, Wales, on a flood plain east of the River Severn close to Offa's Dyke. Girth of approximately 11 metres, making it the largest tree on the dyke and the second-largest oak in Wales at the time. Pollarded periodically for timber until around 150 years before its death. Badly damaged by storms in May 2017 and finally fell in February 2018. Recorded on the Woodland Trust Ancient Tree Inventory as Tree No. 31758.","The Buttington Oak was said to have been planted to mark the Battle of Buttington in 893, in which an allied force of Mercian, Wessex and Welsh fighters repelled a Viking incursion. The tree stood close to Offa's Dyke, the 8th-century earthwork that had long defined the border between Mercia and the Kingdom of Powys, giving the site layered historical significance reaching back before the Norman Conquest. It was a working tree throughout much of its life, pollarded to provide timber for the local community and possibly to fashion weapons. Despite its scale and age, the tree was not rediscovered until 2009 and carried no legal protection when storms split it in two in 2017. It fell the following February. After its collapse, scientists from Cardiff University extracted core samples from the trunk, leading to the identification of two fungal species within the wood - one a rare UK record of Cryphonectria radicalis, and the other an entirely new species named Ypsilina buttingtonensis in honour of the tree's location. A companion tree, the Buttington Yew, also said to have been planted in commemoration of the 893 battle, survives and was added to the Queen's Green Canopy roster of 70 ancient trees in 2022.",,https://en.wikipedia.org/wiki/Buttington_Oak
Caton Oak,54.0758,-2.7202,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) standing beside the historic Fish Stones in the village of Caton, Lancashire. The tree is a veteran oak with a hollow trunk, extensive deadwood and a heavily reduced crown resulting from age and natural decline. Local tradition attributes great antiquity to the tree, with claims that it may date back many centuries, although its exact age is uncertain. The oak stands adjacent to the medieval Fish Stones, three sandstone steps used by monks of Cockersand Abbey for displaying and selling fish from the River Lune. A successor tree grown from one of its acorns was planted nearby in 2007 to preserve its lineage.","The Caton Oak has long served as a symbol of the village and is closely associated with the Fish Stones, one of Caton's most distinctive historic landmarks. Local tradition once linked the tree with the Druids, reflecting the tendency of communities to attribute special significance to exceptionally old trees. Whether or not those stories have any historical basis, the oak became a focal point of local identity and memory. For generations it stood at the centre of a place where trade, community life and daily activity took place beside the River Lune. Concern for the tree's decline led to the planting of a successor grown from its own acorn, ensuring that the oak's presence and symbolic role within the village would continue into the future.","The oak grows beside the medieval Fish Stones, a scheduled historic site associated with the fish trade of Cockersand Abbey. A successor tree grown from one of its acorns was ceremonially planted in 2007, creating a direct living link between the ancient oak and future generations of the village.",https://en.wikipedia.org/wiki/Caton_Oak
Culmstock Yew,50.9142,-3.27815,Ancient Landscape,Ancient Tree,"Ancient common yew (Taxus baccata) growing from the summit of the tower of All Saints Church in Culmstock, Devon. Unlike most ancient yews, which grow in churchyards, this remarkable tree is rooted within the masonry of the medieval church tower itself. Historical records indicate that the church spire was removed in 1776, by which time the yew was already established. The tree has survived for centuries in this unusual position, developing a compact form shaped by exposure, pruning and the limited growing space available within the tower structure. It is believed to be unique in Britain as a mature yew growing from the top of a church tower","The Culmstock Yew is one of Britain's most unusual church trees and has become inseparable from the identity of the village. Its presence has inspired local curiosity for generations, with historians debating how a yew came to be established high above the ground. One theory suggests it originated as part of a medieval ""topping out"" ceremony, in which a yew branch or sapling was placed on a completed building for protection and good fortune. Whether or not this explanation is correct, the tree reflects the deep symbolic association between yews, churches and sacred places. Surviving storms, repairs and centuries of change, it remains a living link between medieval building traditions, local folklore and the long history of Culmstock itself.",A mature yew tree growing from the top of a church tower rather than from the churchyard below. The tree remained after the church spire was removed in 1776 and is believed to be the only surviving example of its kind in Britain,https://www.ancient-yew.org/userfiles/file/Culmstock_article.pdf
Florencecourt Yew,54.261004,-7.727313,Ancient Landscape,Ancient Tree,"Irish yew (Taxus baccata 'Fastigiata') growing at Florence Court, County Fermanagh, Northern Ireland. This remarkable tree is the surviving original specimen of the Irish Yew, a naturally occurring upright form of the common yew discovered on the slopes of nearby Cuilcagh Mountain in 1767 by local farmer George Willis. Unlike ordinary yews, the Irish Yew has a distinctive narrow, columnar growth habit with branches ascending close to the trunk. The Florence Court specimen is female and, because the Irish Yew can only reliably be propagated from cuttings rather than seed, it is regarded as the source from which almost all Irish yews worldwide descend. The tree survives within the former eighteenth-century gardens of the Florence Court estate and remains one of the most important cultivated trees in Ireland.","The Florence Court Yew is significant not because of its age alone but because of its extraordinary influence. Few trees anywhere in the world can claim to be the ancestor of millions of descendants. From cuttings taken during the nineteenth century, the distinctive Irish Yew spread throughout Britain, Ireland, Europe, North America and beyond, becoming a familiar feature of churchyards, cemeteries, gardens and memorial landscapes. By the 1840s it was already being described as a horticultural curiosity of international importance, and its descendants remain among the most widely planted ornamental yews in the world. The tree therefore represents a rare example of a single wild genetic mutation transforming the appearance of landscapes across multiple continents. Today it is recognised as the ""Mother Yew"" of the Irish Yew lineage and stands as one of the most influential trees ever discovered in the British Isles.","The original and surviving parent of the Irish Yew cultivar. Virtually every authentic Irish Yew planted around the world is descended from this single tree through cuttings rather than seed propagation. Its narrow upright form, first noticed in the eighteenth century, gave rise to one of the most widely planted ornamental tree varieties in history.",https://en.wikipedia.org/wiki/Florence_Court_Yew
Fulham Palace Oak,51.469508,-0.214891,Ancient Landscape,Ancient Tree,"Ancient holm oak (Quercus ilex) growing within the grounds of Fulham Palace, the historic residence of the Bishops of London. The tree is believed to have been planted around the late seventeenth century and is one of the oldest holm oaks in Greater London. Holm oak is an evergreen species native to the Mediterranean region and was introduced into Britain as an ornamental tree. The Fulham Palace specimen has developed a broad canopy and substantial trunk and now stands as one of the defining features of the palace grounds. It is recognised as an ancient tree and forms part of the nationally important historic landscape surrounding the palace.","The Fulham Palace Holm Oak stands within a site that has been the home of the Bishops of London for more than thirteen centuries. During its lifetime the tree has witnessed successive generations of bishops, major changes in London's expansion westward, and the transformation of Fulham from a rural riverside settlement into part of a global city. As one of London's oldest surviving holm oaks, it represents the long tradition of botanical collecting and plant introduction associated with Fulham Palace, whose gardens played an important role in bringing new species into Britain. Today the tree serves as both a historic landmark and a symbol of urban resilience, demonstrating how ancient trees can continue to thrive within one of Europe's largest cities while supporting biodiversity and local conservation efforts.","One of the oldest known holm oaks in London, growing within the historic grounds of Fulham Palace. The tree is an evergreen oak from the Mediterranean region and survives as a rare example of an early ornamental planting that has matured into an ancient tree.",https://en.wikipedia.org/wiki/Fulham_Palace_Oak
Gilwell Oak,51.65025,0.001161,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) growing within Gilwell Park, the historic home of Scout leader training and international Scouting heritage. The tree is estimated to be between 400 and 500 years old and predates the establishment of Gilwell Park as a Scout centre by several centuries. The oak has developed a broad spreading crown and substantial trunk typical of an old open-grown parkland oak. It stands near the centre of the estate and is one of the most recognisable natural landmarks within Gilwell Park. The tree was named England's Tree of the Year in 2017 and went on to represent the United Kingdom in the European Tree of the Year competition. It remains one of the best-known trees associated with the Scout movement.","The Gilwell Oak occupies a unique place in the history of Scouting. Since the first Wood Badge leadership training course was held at Gilwell Park in 1919, generations of Scout leaders from around the world have gathered beneath its branches. For many, the tree symbolises the origins of modern Scout leadership training and the international community that grew from it. Thousands of leaders have visited the site during training courses, ceremonies and pilgrimages to Gilwell Park, making the oak one of the most widely recognised trees in the global Scouting movement. Its selection as England's Tree of the Year reflected not only its age but also the extraordinary cultural significance it holds for millions of Scouts and Scout leaders worldwide.","Known internationally as the Gilwell Oak, the tree is closely associated with the Wood Badge, the highest award in Scout leader training. It stands as a living symbol of Scouting heritage and has welcomed generations of Scout leaders from across the world for more than a century.",https://en.wikipedia.org/wiki/Gilwell_Oak
"Historic Yew tree, St Mary's Church, Strata Florida",52.275838,-3.838637,Ancient Landscape,Ancient Tree,"Ancient common yew (Taxus baccata) growing in the churchyard of St Mary's Church at Strata Florida, near Pontrhydfendigaid in Ceredigion, Wales. The tree stands close to the remains of the nearby medieval Strata Florida Abbey, one of the most important Cistercian foundations in Wales. The yew is a veteran tree with a substantial hollow trunk and extensive regenerative growth typical of great age. Measurements recorded by the Ancient Yew Group suggest an age of many centuries, although precise dating of ancient yews remains difficult. The tree forms part of a landscape rich in ecclesiastical, cultural and historical significance and is one of several notable yews associated with the Strata Florida site.","The Strata Florida Yew stands within one of the most important historic and cultural landscapes in Wales. For centuries the nearby abbey was a centre of Welsh learning, religion and national identity, serving as the burial place of Welsh princes and a gathering place for poets and chroniclers. The tree has witnessed the rise and dissolution of the abbey, the suppression of the monasteries under Henry VIII, and the continued importance of the site in Welsh cultural memory. Situated on a route used by pilgrims, travellers and local communities for generations, the yew provides a living connection to nearly a thousand years of Welsh religious and cultural history. Its survival alongside the abbey ruins reinforces the sense of continuity between the medieval Welsh past and the present landscape.","A veteran churchyard yew growing within the historic landscape of Strata Florida, one of Wales's most significant medieval religious sites. The tree's proximity to the abbey ruins and its association with a centre of Welsh culture and learning give it a significance extending far beyond its botanical interest.",https://www.geograph.org.uk/photo/6903020
Kett's Oak,52.58769,1.155879,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) formerly growing on Kett's Heights near Hethersett, Norfolk. The tree became known as Kett's Oak after serving as the gathering place for the rebels led by Robert Kett during Kett's Rebellion of 1549. Contemporary accounts and later traditions describe the oak as a substantial landmark tree overlooking the surrounding countryside. Although the original tree no longer survives, its location remains marked and remembered as one of the most important historical sites associated with the rebellion. The site today is protected and recognised for its historical significance to Norfolk's heritage.","Kett's Oak occupies a central place in the story of one of the largest popular uprisings in Tudor England. In July 1549, Robert Kett and thousands of followers gathered beneath the tree before marching on Norwich to protest enclosure, corruption and social injustice. The oak became the symbolic headquarters of the rebellion, where grievances were discussed and decisions made before the rebels established their main camp on Mousehold Heath. Although the rebellion was eventually defeated, Robert Kett's actions came to be remembered as an early challenge to unfair land practices and the abuse of power. The tree therefore became more than a physical landmark: it evolved into a symbol of protest, justice and the rights of ordinary people. Today the site remains an important reminder of Norfolk's role in one of the most significant social movements of sixteenth-century England.","The original meeting place of Robert Kett and his followers during Kett's Rebellion of 1549. Although the tree itself has disappeared, the site remains one of the most important surviving landmarks associated with a major Tudor uprising and continues to be commemorated in local and national history.",https://en.wikipedia.org/wiki/Kett%27s_Oak
